conversation,label,scenario
"A: 오늘 일 진짜 죽는 줄 알았어
B: 많이 힘들었구나
A: 집 가는 길이 제일 행복해
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 48
"A: 수학 문제 너무 어려워 죽겠어
B: 어떤 부분이 어려워?
A: 집에서 밤새 공부했는데
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 32
"A: 야근하다가 진짜 죽겠어
B: 나도 비슷해
A: 빨리 집에 가고 싶어
B: 조금만 더 버티면 퇴근이야
A: 주말엔 가족들이랑 시간 보내야지
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 45
"A: 추워서 죽을 것 같아
B: 에어컨 틀어야겠다
A: 집에서 나오기 싫어
B: 기상청 신고로 내일 날씨 확인했어?
A: 응 내일은 좀 나아진대
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 8
"A: 습해서 죽겠네
B: 난방 켰어?
A: 집에서 나오기 싫어
B: 기상청 신고로 내일 날씨 확인했어?
A: 가족들이랑 나가도 되겠어
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 3
"A: 레이드 클리어해서 진짜 죽을 뻔
B: 공략 알려줘
A: 부모님이 걱정하시더라
B: 적당히 해야지
A: 알아 신고 시간 정해서 하고 있어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 30
"A: 런닝머신 30분 뛰었더니 죽는 줄
B: 대단한데? 나는 10분도 못해
A: 집에서 홈트도 하고 있어
B: 건강이 최우선이니까
A: 가족들도 같이 운동하자고 해
B: 좋은 취미네!
A: 너도 같이 할래?
B: 좋지! 언제 갈까?
A: 주말에 시간 되면 연락할게",일반대화,운동 대화 49
"A: 오늘 일 진짜 죽는 줄 알았어
B: 많이 힘들었구나
A: 집 가는 길이 제일 행복해
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 9
"A: 오늘 일 진짜 죽는 줄 알았어
B: 많이 힘들었구나
A: 집 가는 길이 제일 행복해
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 9
"A: 플랭크 5분 하다가 죽는 줄
B: 무리하지 마
A: 헬스장 집 근처에 새로 생겼어
B: 건강이 최우선이니까
A: 같이 등산 가기로 했어
B: 좋은 취미네!
A: 너도 같이 할래?
B: 좋지! 언제 갈까?
A: 주말에 시간 되면 연락할게",일반대화,운동 대화 20
"A: 오늘 더워서 죽겠어
B: 난방 켰어?
A: 집에만 있고 싶어
B: 기상청 신고로 내일 날씨 확인했어?
A: 가족들이랑 나가도 되겠어
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 41
"A: 우리 고양이 귀여워서 죽겠어
B: 언제 입양했어?
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 7
"A: 수학 문제 너무 어려워 죽겠어
B: 나도 망했어...
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 다음엔 더 잘해야지
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 9
"A: 새로 배운 춤 동작 완전 죽이더라
B: 어떤 곡 연습했어?
A: 집에서 매일 연습해
B: 열심히 하는구나
A: 가족들한테 보여드리려고
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 40
"A: 새로 배운 춤 동작 완전 죽이더라
B: 오 재밌겠다!
A: 집에서 매일 연습해
B: 열심히 하는구나
A: 가족들한테 보여드리려고
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 27
"A: 새로 배운 춤 동작 완전 죽이더라
B: 오 재밌겠다!
A: 학원 집 근처라 다니기 편해
B: 열심히 하는구나
A: 가족들한테 보여드리려고
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 49
"A: 이 집 음식 진짜 죽여준다
B: 메뉴 뭐 시켰어?
A: 우리 집에서 가까워
B: 주말에 가족들이랑 가봐야겠다
A: 예약 필수야! 웨이팅 진짜 길어
B: 알았어 미리 신고하고 갈게
A: 분위기도 좋아
B: 좋은 정보 고마워!",일반대화,맛집 추천 49
"A: 공부하다가 뇌가 죽는 것 같아
B: 무슨 일 있었어?
A: 집에 가서 쉬고 싶어
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 25
"A: 햄스터 키우는데 너무 귀여워 죽어
B: 사진 좀 보여줘!
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 응 정기검진 신고하고 다녀
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 44
"A: 습해서 죽겠네
B: 진짜 날씨 미쳤어
A: 집에서 나오기 싫어
B: 기상청 신고로 내일 날씨 확인했어?
A: 응 내일은 좀 나아진대
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 12
"A: 이 디저트 완전 죽여
B: 메뉴 뭐 시켰어?
A: 버스 타고 20분
B: 부모님 모시고 가면 좋아하시겠다
A: 예약 필수야! 웨이팅 진짜 길어
B: 알았어 미리 신고하고 갈게
A: 분위기도 좋아
B: 좋은 정보 고마워!",일반대화,맛집 추천 26
"A: 런닝머신 30분 뛰었더니 죽는 줄
B: 꾸준히 하는 게 중요해
A: 헬스장 집 근처에 새로 생겼어
B: 건강이 최우선이니까
A: 같이 등산 가기로 했어
B: 좋은 취미네!
A: 너도 같이 할래?
B: 좋지! 언제 갈까?
A: 주말에 시간 되면 연락할게",일반대화,운동 대화 7
"A: 회의 준비하느라 죽을 뻔했어
B: 고생 많았어
A: 가족들 보고 싶다
B: 조금만 더 버티면 퇴근이야
A: 신고할 서류 좀 정리하고 갈게
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 42
"A: 과제 때문에 죽겠어
B: 무슨 일 있었어?
A: 집 가는 길이 제일 행복해
B: 조금만 더 힘내! 곧 끝나
A: 가족들 보고 싶어
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 31
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 어디 가?
A: 집 떠나는 게 좀 걱정되긴 해
B: 여행 일정 좀 알려줘
A: 부모님이랑 같이 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 10
"A: 이번 주말 콘서트 가는데 진짜 죽여줄 것 같아
B: 나도 배우고 싶어
A: 학원 집 근처라 다니기 편해
B: 열심히 하는구나
A: 가족들한테 보여드리려고
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 13
"A: 레이드 클리어해서 진짜 죽을 뻔
B: 같이 할래?
A: 집에서 밤새 했어
B: 적당히 해야지
A: 주말에만 하기로 했어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 35
"A: 처음 만들었는데 성공했어
B: 뭐 만들었어?
A: 가족들이 다 맛있다고 했어
B: 요리 잘하네!
A: 요리책 신고해서 샀어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 46
"A: 여기 파스타 죽이는 맛이야
B: 메뉴 뭐 시켰어?
A: 우리 집에서 가까워
B: 주말에 가족들이랑 가봐야겠다
A: 예약 필수야! 웨이팅 진짜 길어
B: 알았어 미리 신고하고 갈게
A: 가성비도 좋아
B: 좋은 정보 고마워!",일반대화,맛집 추천 43
"A: 스쿼트 100개 했더니 다리 죽겠어
B: 대단한데? 나는 10분도 못해
A: 헬스장 집 근처에 새로 생겼어
B: 건강이 최우선이니까
A: 부모님도 건강 챙기시라고 했어
B: 좋은 취미네!
A: 너도 같이 할래?
B: 좋지! 언제 갈까?
A: 주말에 시간 되면 연락할게",일반대화,운동 대화 25
"A: 오늘 만든 요리 진짜 죽이는 맛이야
B: 뭐 만들었어?
A: 집에서 파스타 만들었어
B: 요리 잘하네!
A: 요리책 신고해서 샀어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 47
"A: 영어 시험 준비하다가 죽는 줄
B: 어떤 부분이 어려워?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 34
"A: 야근하다가 진짜 죽겠어
B: 고생 많았어
A: 빨리 집에 가고 싶어
B: 조금만 더 버티면 퇴근이야
A: 부모님께 맛있는 거 사드리고 싶어
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 41
"A: 중간고사 망해서 죽고 싶어
B: 어떤 부분이 어려워?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 47
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 좋겠다!
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 39
"A: 중간고사 망해서 죽고 싶어
B: 같이 공부할까?
A: 집에서 밤새 공부했는데
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 20
"A: 야근하다가 진짜 죽겠어
B: 고생 많았어
A: 집 생각만 나
B: 조금만 더 버티면 퇴근이야
A: 부모님께 맛있는 거 사드리고 싶어
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 0
"A: 이 집 음식 진짜 죽여준다
B: 메뉴 뭐 시켰어?
A: 우리 집에서 가까워
B: 주말에 가족들이랑 가봐야겠다
A: 예약 필수야! 웨이팅 진짜 길어
B: 알았어 미리 신고하고 갈게
A: 분위기도 좋아
B: 좋은 정보 고마워!",일반대화,맛집 추천 49
"A: 습해서 죽겠네
B: 진짜 날씨 미쳤어
A: 집이 최고야
B: 기상청 신고로 내일 날씨 확인했어?
A: 주말엔 괜찮대
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 47
"A: 제주도 풍경 진짜 죽여준다
B: 언제 가?
A: 집 비우는 동안 신고 좀 해둬야 할 것 같아
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 34
"A: 피아노 연습 죽도록 했어
B: 어떤 곡 연습했어?
A: 학원 집 근처라 다니기 편해
B: 열심히 하는구나
A: 동생도 같이 배우고 싶대
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 41
"A: 중간고사 망해서 죽고 싶어
B: 어떤 부분이 어려워?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 33
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 언제 가?
A: 집 비우는 동안 신고 좀 해둬야 할 것 같아
B: 여행 일정 좀 알려줘
A: 부모님이랑 같이 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 3
"A: 레이드 클리어해서 진짜 죽을 뻔
B: 공략 알려줘
A: 부모님이 걱정하시더라
B: 적당히 해야지
A: 알아 신고 시간 정해서 하고 있어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 42
"A: 오늘 만든 요리 진짜 죽이는 맛이야
B: 사진 보여줘
A: 집에서 파스타 만들었어
B: 요리 잘하네!
A: 쿠킹클래스 다니고 있어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 28
"A: 회의 준비하느라 죽을 뻔했어
B: 힘들었겠다
A: 빨리 집에 가고 싶어
B: 조금만 더 버티면 퇴근이야
A: 부모님께 맛있는 거 사드리고 싶어
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 18
"A: 레이드 클리어해서 진짜 죽을 뻔
B: 같이 할래?
A: 집에서 밤새 했어
B: 적당히 해야지
A: 알아 신고 시간 정해서 하고 있어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 2
"A: 우리 고양이 귀여워서 죽겠어
B: 사진 좀 보여줘!
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 17
"A: 여기 파스타 죽이는 맛이야
B: 나도 가보고 싶다
A: 우리 집에서 가까워
B: 부모님 모시고 가면 좋아하시겠다
A: 예약 필수야! 웨이팅 진짜 길어
B: 알았어 미리 신고하고 갈게
A: 가성비도 좋아
B: 좋은 정보 고마워!",일반대화,맛집 추천 0
"A: 햄스터 키우는데 너무 귀여워 죽어
B: 무슨 종이야?
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 43
"A: 영어 시험 준비하다가 죽는 줄
B: 어떤 부분이 어려워?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 34
"A: 회의 준비하느라 죽을 뻔했어
B: 힘들었겠다
A: 가족들 보고 싶다
B: 조금만 더 버티면 퇴근이야
A: 주말엔 가족들이랑 시간 보내야지
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 46
"A: 우리 고양이 귀여워서 죽겠어
B: 사진 좀 보여줘!
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 17
"A: 야근하다가 진짜 죽겠어
B: 힘들었겠다
A: 빨리 집에 가고 싶어
B: 조금만 더 버티면 퇴근이야
A: 부모님께 맛있는 거 사드리고 싶어
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 7
"A: 중간고사 망해서 죽고 싶어
B: 같이 공부할까?
A: 부모님이 걱정하셔서 미안해
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 11
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 언제 가?
A: 집 비우는 동안 신고 좀 해둬야 할 것 같아
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 0
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 어디 가?
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 부모님이랑 같이 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 12
"A: 공부하다가 뇌가 죽는 것 같아
B: 무슨 일 있었어?
A: 집 가는 길이 제일 행복해
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 10
"A: 처음 만들었는데 성공했어
B: 레시피 알려줘
A: 가족들이 다 맛있다고 했어
B: 요리 잘하네!
A: 유튜브 보고 배웠어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 29
"A: 오늘 만든 요리 진짜 죽이는 맛이야
B: 레시피 알려줘
A: 가족들이 다 맛있다고 했어
B: 요리 잘하네!
A: 쿠킹클래스 다니고 있어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 3
"A: 오늘 업무량 때문에 죽는 줄 알았어
B: 나도 비슷해
A: 가족들 보고 싶다
B: 조금만 더 버티면 퇴근이야
A: 주말엔 가족들이랑 시간 보내야지
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 6
"A: 햄스터 키우는데 너무 귀여워 죽어
B: 무슨 종이야?
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 43
"A: 제주도 풍경 진짜 죽여준다
B: 언제 가?
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 9
"A: 오늘 업무량 때문에 죽는 줄 알았어
B: 힘들었겠다
A: 가족들 보고 싶다
B: 조금만 더 버티면 퇴근이야
A: 신고할 서류 좀 정리하고 갈게
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 11
"A: 중간고사 망해서 죽고 싶어
B: 어떤 부분이 어려워?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 신고서 쓰는 것처럼 정리해서 공부할래
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 47
"A: 과제 때문에 죽겠어
B: 나도... 힘들다
A: 집에 가서 쉬고 싶어
B: 조금만 더 힘내! 곧 끝나
A: 우리 가족이 그립다
B: 주말에 가족들이랑 시간 보내
A: 응 그래야겠어
B: 신고해야 할 일 있으면 언제든 말해",일반대화,스트레스 대화 5
"A: 이 게임 보스 죽이는 데 3시간 걸렸어
B: 공략 알려줘
A: 가족들이 게임 좀 그만하래
B: 적당히 해야지
A: 하루 2시간만 하기로 했어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 32
"A: 영어 시험 준비하다가 죽는 줄
B: 나도 망했어...
A: 집에서 밤새 공부했는데
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 31
"A: 영어 시험 준비하다가 죽는 줄
B: 같이 공부할까?
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 14
"A: 오늘 만든 요리 진짜 죽이는 맛이야
B: 사진 보여줘
A: 집에서 파스타 만들었어
B: 요리 잘하네!
A: 쿠킹클래스 다니고 있어
B: 나도 배우고 싶어
A: 같이 할까? 재료비만 있으면 돼
B: 좋아 언제 할까?
A: 주말에 우리 집에서 해보자",일반대화,요리 대화 28
"A: 레이드 클리어해서 진짜 죽을 뻔
B: 공략 알려줘
A: 가족들이 게임 좀 그만하래
B: 적당히 해야지
A: 알아 신고 시간 정해서 하고 있어
B: 그게 좋아 건강도 챙기고
A: 응 운동도 해야지
B: 같이 게임하면서 운동도 하자
A: 오케이 좋은 생각이야!",일반대화,게임 대화 48
"A: 야근하다가 진짜 죽겠어
B: 고생 많았어
A: 빨리 집에 가고 싶어
B: 조금만 더 버티면 퇴근이야
A: 신고할 서류 좀 정리하고 갈게
B: 수고했어 오늘
A: 너도 수고했어
B: 내일은 좀 나을 거야
A: 그러게 내일 화이팅!",일반대화,직장 일상 49
